,type,title,release_year,api_url,target_url,audience_score,tomato_score
6802,Movie,Freshman Year,2019,https://www.rottentomatoes.com/api/private/v2.0/search?q=Freshman+Year,https://www.rottentomatoes.com/m/freshman_year_2019,73,-1
6803,TV Show,Friday Night Tykes,2017,https://www.rottentomatoes.com/api/private/v2.0/search?q=Friday+Night+Tykes,Not found on RT,-2,-2
6804,Movie,Friday the 13th,2009,https://www.rottentomatoes.com/api/private/v2.0/search?q=Friday+the+13th,https://www.rottentomatoes.com/m/friday_the_13th_2018,-2,-2
6805,Movie,Friend Request,2016,https://www.rottentomatoes.com/api/private/v2.0/search?q=Friend+Request,https://www.rottentomatoes.com/m/friend_request_2020,50,-1
6806,TV Show,Friends,2003,https://www.rottentomatoes.com/api/private/v2.0/search?q=Friends,https://www.rottentomatoes.com/tv/friends,93,79
6807,Movie,From Japan to Egypt,2017,https://www.rottentomatoes.com/api/private/v2.0/search?q=From+Japan+to+Egypt,Not found on RT,-2,-2
6808,Movie,From Paris with Love,2010,https://www.rottentomatoes.com/api/private/v2.0/search?q=From+Paris+with+Love,https://www.rottentomatoes.com/m/from_paris_with_love,54,38
6809,Movie,Froning: The Fittest Man in History,2016,https://www.rottentomatoes.com/api/private/v2.0/search?q=Froning:+The+Fittest+Man+in+History,https://www.rottentomatoes.com/m/froning_the_fittest_man_in_history,67,-1
6810,TV Show,Frozen Planet,2011,https://www.rottentomatoes.com/api/private/v2.0/search?q=Frozen+Planet,https://www.rottentomatoes.com/tv/planet_earth_frozen_planet/s01,-2,-2
6811,Movie,Frozen Planet: On Thin Ice,2011,https://www.rottentomatoes.com/api/private/v2.0/search?q=Frozen+Planet:+On+Thin+Ice,Not found on RT,-2,-2
6812,Movie,Frozen Planet: The Epic Journey,2011,https://www.rottentomatoes.com/api/private/v2.0/search?q=Frozen+Planet:+The+Epic+Journey,Not found on RT,-2,-2
