Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
382,tt1877895,2022-01-01,2022-01-01,,Daughters of Destiny,https://www.imdb.com/title/tt1877895/,tvMiniSeries,8.6,60,2017,Documentary,949,2017-07-28,
383,tt7293754,2022-01-01,2022-01-01,,Fire Chasers,https://www.imdb.com/title/tt7293754/,tvMiniSeries,6.6,,2017,Documentary,378,2017-09-08,
384,tt7349602,2022-01-01,2022-01-01,,The Confession Tapes,https://www.imdb.com/title/tt7349602/,tvSeries,7.5,46,2017,"Documentary, Crime",5467,2017-09-08,
385,tt7453996,2022-01-01,2022-01-01,,Jack Whitehall: Travels with My Father,https://www.imdb.com/title/tt7453996/,tvSeries,7.6,30,2017,"Documentary, Comedy",5623,2017-09-22,
386,tt7334894,2022-01-01,2022-01-01,,The Day I Met El Chapo: The Kate Del Castillo Story,https://www.imdb.com/title/tt7334894/,tvSeries,6.8,60,2017,"Documentary, Biography",1121,2017-10-20,
387,tt7644680,2022-01-01,2022-01-01,,Shot in the Dark,https://www.imdb.com/title/tt7644680/,tvSeries,8.0,37,2017,"Documentary, Reality-TV",1851,2017-11-17,
388,tt7306056,2022-01-01,2022-01-01,,Wormwood,https://www.imdb.com/title/tt7306056/,tvMiniSeries,7.0,241,2017,"Documentary, Biography, Drama",4357,2017-09-01,
389,tt7909708,2022-01-01,2022-01-01,,72 Dangerous Animals: Latin America,https://www.imdb.com/title/tt7909708/,tvMiniSeries,6.6,,2017,Documentary,602,2017-12-22,
390,tt7782022,2022-01-01,2022-01-01,,Dope,https://www.imdb.com/title/tt7782022/,tvSeries,7.3,45,2017,"Documentary, Crime",1707,2017-12-22,
391,tt7053920,2022-01-01,2022-01-01,,The Toys That Made Us,https://www.imdb.com/title/tt7053920/,tvSeries,8.0,46,2017,"Documentary, Comedy, History",5777,2017-12-22,
392,tt7763662,2022-01-01,2022-01-01,,Rotten,https://www.imdb.com/title/tt7763662/,tvSeries,7.2,55,2018,Documentary,3832,2018-01-05,
393,tt7935522,2022-01-01,2022-01-01,,Drug Lords,https://www.imdb.com/title/tt7935522/,tvSeries,6.8,42,2018,Documentary,1376,2018-01-19,
394,tt7889220,2022-01-01,2022-01-01,,Dirty Money,https://www.imdb.com/title/tt7889220/,tvSeries,8.1,60,2018,"Documentary, Crime",9417,2018-01-26,
395,tt5697642,2022-01-01,2022-01-01,,Coach Snoop,https://www.imdb.com/title/tt5697642/,tvSeries,6.8,30,2016,Documentary,607,2016-05-19,
396,tt7924812,2022-01-01,2022-01-01,,First Team: Juventus,https://www.imdb.com/title/tt7924812/,tvSeries,7.2,40,2018,"Documentary, Reality-TV, Sport",2129,2018-02-16,
397,tt7907916,2022-01-01,2022-01-01,,Ugly Delicious,https://www.imdb.com/title/tt7907916/,tvSeries,7.8,50,2018,Documentary,3594,2018-02-23,
398,tt8004578,2022-01-01,2022-01-01,,Flint Town,https://www.imdb.com/title/tt8004578/,tvSeries,7.8,45,2018,"Documentary, Crime",3777,2018-03-02,
399,tt8092942,2022-01-01,2022-01-01,,Girls Incarcerated: Young and Locked Up,https://www.imdb.com/title/tt8092942/,tvSeries,7.3,45,2018,"Documentary, Reality-TV, Talk-Show",1130,2018-03-01,
400,tt7768848,2022-01-01,2022-01-01,,Wild Wild Country,https://www.imdb.com/title/tt7768848/,tvMiniSeries,8.1,403,2018,"Documentary, Crime",31582,2018-01-31,
401,tt7981052,2022-01-01,2022-01-01,,Rapture,https://www.imdb.com/title/tt7981052/,tvMiniSeries,7.1,,2018,"Documentary, Music",567,2018-03-30,
402,tt8200004,2022-01-01,2022-01-01,,Bobby Kennedy for President,https://www.imdb.com/title/tt8200004/,tvMiniSeries,8.2,245,2018,"Documentary, Biography, Drama",1868,2018-04-25,
403,tt8342862,2022-01-01,2022-01-01,,Evil Genius: The True Story of America's Most Diabolical Bank Heist,https://www.imdb.com/title/tt8342862/,tvMiniSeries,7.5,192,2018,"Documentary, Crime",28771,2018-05-10,
404,tt8194716,2022-01-01,2022-01-01,,November 13: Attack on Paris,https://www.imdb.com/title/tt8194716/,tvMiniSeries,8.3,55,2018,Documentary,3295,2018-06-01,
405,tt8725166,2022-01-01,2022-01-01,,Dark Tourist,https://www.imdb.com/title/tt8725166/,tvSeries,7.5,40,2018,Documentary,7518,2018-07-20,
406,tt6647696,2022-01-01,2022-01-01,,Marching Orders,https://www.imdb.com/title/tt6647696/,tvSeries,6.2,,2017,Documentary,257,2017-06-01,
407,tt8728268,2022-01-01,2022-01-01,,72 Dangerous Animals - Asia,https://www.imdb.com/title/tt8728268/,tvSeries,6.5,,2018,Documentary,566,2018-08-10,
408,tt8792570,2022-01-01,2022-01-01,,Afflicted,https://www.imdb.com/title/tt8792570/,tvSeries,5.2,,2018,"Documentary, Mystery, Reality-TV, Talk-Show",1138,2018-08-10,
409,tt8560884,2022-01-01,2022-01-01,,Follow This,https://www.imdb.com/title/tt8560884/,tvSeries,5.0,,2018,Documentary,726,2018-07-09,
410,tt8893502,2022-01-01,2022-01-01,,First and Last,https://www.imdb.com/title/tt8893502/,tvSeries,6.7,40,2018,Documentary,442,2018-09-07,
411,tt8893546,2022-01-01,2022-01-01,,Boca Juniors Confidencial,https://www.imdb.com/title/tt8893546/,tvSeries,6.4,45,2018,"Documentary, Sport",366,2018-09-14,
412,tt8772088,2022-01-01,2022-01-01,,Salt Fat Acid Heat,https://www.imdb.com/title/tt8772088/,tvSeries,7.7,,2018,Documentary,2540,2018-10-11,
413,tt9047526,2022-01-01,2022-01-01,,Fightworld,https://www.imdb.com/title/tt9047526/,tvSeries,7.5,40,2018,Documentary,858,2018-01-12,
414,tt6775816,2022-01-01,2022-01-01,,Terrorism Close Calls,https://www.imdb.com/title/tt6775816/,tvSeries,5.3,50,2018,Documentary,739,2018-10-26,
415,tt7440274,2022-01-01,2022-01-01,,Medal of Honor,https://www.imdb.com/title/tt7440274/,tvSeries,8.3,60,2018,"Documentary, War",1766,2018-11-09,
416,tt8961530,2022-01-01,2022-01-01,,Vai Anitta,https://www.imdb.com/title/tt8961530/,tvSeries,5.5,30,2018,"Documentary, Reality-TV",467,2018-10-31,
417,tt9437310,2022-01-01,2022-01-01,,Inside the Real Narcos,https://www.imdb.com/title/tt9437310/,tvSeries,7.5,45,2018,"Documentary, Crime",762,2018-12-14,
418,tt8914684,2022-01-01,2022-01-01,,Sunderland 'Til I Die,https://www.imdb.com/title/tt8914684/,tvSeries,8.1,39,2018,"Documentary, Sport",8464,2018-12-14,
